idCliente,idServidor,velocidad,distancia
1,4,300,4
2,4,600,10
3,4,900,10
5,23,900,2
6,23,300,10
7,23,300,10
8,23,900,5
9,23,900,10
10,23,300,3
11,23,600,3
12,23,300,9
13,23,300,4
14,23,600,8
15,23,300,10
16,23,600,7
17,23,600,9
18,23,300,6
19,23,900,10
20,23,600,3
21,23,300,7
22,23,600,2
24,26,600,2
25,26,900,4
27,28,600,4
29,36,900,8
30,36,900,2
31,36,300,6
32,36,900,8
33,36,600,7
34,36,900,1
35,36,900,4
37,45,600,10
38,45,600,2
39,45,600,10
40,45,300,7
41,45,300,8
42,45,300,8
43,45,300,3
44,45,600,10
46,52,600,3
47,52,600,3
48,52,900,1
49,52,900,3
50,52,600,2
51,52,600,1
53,55,300,7
54,55,300,10
56,68,300,3
57,68,600,5
58,68,600,9
59,68,900,5
60,68,900,9
61,68,900,8
62,68,600,2
63,68,300,9
64,68,300,4
65,68,900,7
66,68,300,10
67,68,600,10
69,74,600,7
70,74,600,9
71,74,600,7
72,74,600,1
73,74,900,9
76,80,600,5
77,80,600,5
78,80,300,4
79,80,600,6
82,88,300,10
83,88,900,8
84,88,900,5
85,88,300,9
86,88,300,8
87,88,600,6
90,92,600,5
91,92,300,7
93,105,300,1
94,105,300,6
95,105,600,8
96,105,900,7
97,105,900,8
98,105,300,7
99,105,300,5
100,105,300,9
101,105,300,9
102,105,600,9
103,105,600,10
104,105,900,5
106,107,600,4
109,112,900,6
110,112,900,2
111,112,300,9
113,115,300,1
114,115,300,9
116,124,600,5
117,124,300,6
118,124,300,4
119,124,600,6
120,124,600,6
121,124,600,7
122,124,300,10
123,124,900,8
125,130,900,8
126,130,300,8
127,130,900,3
128,130,900,7
129,130,900,8
131,140,600,1
132,140,900,3
133,140,300,3
134,140,300,3
135,140,900,3
136,140,900,10
137,140,300,5
138,140,900,1
139,140,300,5
143,148,600,3
144,148,300,6
145,148,600,9
146,148,300,5
147,148,900,9
149,169,900,5
150,169,900,7
151,169,600,1
152,169,300,7
153,169,600,4
154,169,300,2
155,169,300,6
156,169,600,5
157,169,600,9
158,169,600,4
159,169,900,1
160,169,300,1
161,169,600,8
162,169,300,7
163,169,900,6
164,169,300,5
165,169,900,5
166,169,600,3
167,169,900,1
168,169,900,8
170,173,900,4
171,173,600,10
172,173,300,7
174,196,300,8
175,196,600,1
176,196,600,2
177,196,300,2
178,196,600,7
179,196,600,2
180,196,900,5
181,196,600,5
182,196,900,10
183,196,300,3
184,196,600,2
185,196,300,1
186,196,600,1
187,196,900,6
188,196,900,4
189,196,300,4
190,196,900,5
191,196,600,8
192,196,600,1
193,196,300,5
194,196,900,2
195,196,600,6
197,198,600,5
199,208,900,8
200,208,900,9
201,208,900,6
202,208,900,6
203,208,300,1
204,208,900,3
205,208,300,5
206,208,600,4
207,208,900,2
209,214,900,1
210,214,300,5
211,214,900,4
212,214,900,6
213,214,900,10
215,218,600,9
216,218,600,8
217,218,300,9
219,221,600,10
220,221,900,7
223,226,600,1
224,226,900,1
225,226,300,7
227,231,600,10
228,231,600,4
229,231,300,10
230,231,300,1
232,233,600,9
234,254,300,10
235,254,900,1
236,254,900,3
237,254,300,1
238,254,900,7
239,254,900,1
240,254,300,2
241,254,300,9
242,254,900,7
243,254,300,5
244,254,600,5
245,254,900,6
246,254,600,5
247,254,300,7
248,254,900,5
249,254,600,6
250,254,900,7
251,254,600,3
252,254,900,7
253,254,600,9
255,267,900,8
256,267,300,6
257,267,600,3
258,267,300,1
259,267,600,6
260,267,900,8
261,267,900,10
262,267,900,2
263,267,300,7
264,267,300,1
265,267,300,2
266,267,600,8
268,275,300,1
269,275,300,1
270,275,600,5
271,275,600,6
272,275,900,8
273,275,300,7
274,275,300,4
276,284,600,8
277,284,300,3
278,284,600,7
279,284,600,4
280,284,900,1
281,284,900,4
282,284,300,4
283,284,300,3
286,290,900,5
287,290,300,10
288,290,300,3
289,290,600,9
291,297,600,7
292,297,900,7
293,297,300,6
294,297,900,3
295,297,900,8
296,297,300,7
0,4,2000,279
0,28,1000,852
0,74,3000,503
0,81,1000,960
0,92,3000,912
0,107,3000,628
0,108,2000,704
0,124,3000,923
0,148,2000,853
0,222,2000,314
0,233,3000,333
0,254,1000,36
0,290,3000,905
4,45,1000,374
4,52,3000,233
4,68,2000,136
4,75,3000,375
4,80,3000,635
4,89,1000,714
4,92,3000,618
4,115,3000,844
4,148,3000,819
4,173,1000,869
4,198,3000,931
4,284,3000,730
23,45,1000,531
23,52,2000,751
23,75,1000,267
23,107,2000,212
23,112,2000,963
23,115,2000,684
23,142,2000,926
23,214,3000,128
23,218,3000,357
23,284,3000,494
23,298,2000,257
26,45,1000,708
26,75,2000,6
26,107,2000,502
26,130,1000,153
26,141,2000,306
26,196,3000,952
26,208,1000,447
26,226,1000,334
26,233,1000,844
26,290,2000,827
28,52,1000,760
28,80,1000,887
28,92,1000,458
28,107,3000,635
28,115,1000,531
28,130,1000,542
28,140,1000,256
28,142,3000,393
28,214,2000,355
28,290,2000,611
36,80,3000,674
36,89,1000,353
36,124,3000,71
36,222,3000,147
36,290,2000,976
45,52,2000,18
45,81,1000,889
45,105,1000,959
45,108,2000,242
45,130,1000,906
45,142,3000,599
45,208,2000,708
45,214,2000,928
45,226,1000,365
45,231,3000,958
45,254,3000,361
45,297,3000,645
52,88,1000,446
52,124,3000,913
52,130,3000,625
52,142,2000,308
52,148,1000,304
52,169,1000,304
52,222,2000,320
52,233,1000,730
52,254,3000,284
52,267,2000,801
52,284,1000,717
52,290,2000,773
55,81,1000,415
55,88,3000,87
55,92,3000,501
55,107,1000,704
55,108,2000,856
55,112,3000,985
55,142,2000,101
55,173,2000,566
55,254,3000,462
55,298,3000,1000
68,108,2000,761
68,173,2000,839
68,226,1000,386
68,275,2000,953
68,285,2000,448
74,75,1000,449
74,107,2000,525
74,141,1000,367
74,208,3000,287
74,231,3000,83
74,297,3000,704
75,80,1000,330
75,107,3000,384
75,115,3000,843
75,140,3000,342
75,142,1000,583
75,173,3000,550
75,222,2000,874
75,226,2000,609
75,290,1000,345
80,112,2000,281
80,130,3000,136
80,142,2000,988
80,267,1000,853
81,124,3000,605
81,141,1000,63
81,173,3000,388
81,196,1000,240
81,208,1000,500
81,214,2000,976
81,226,3000,182
81,284,2000,860
81,298,3000,794
88,107,1000,58
88,108,2000,971
88,115,2000,313
88,141,2000,779
88,142,2000,31
88,148,1000,242
88,208,1000,6
88,226,3000,635
88,285,1000,109
89,92,1000,515
89,112,1000,918
89,115,2000,923
89,130,2000,223
89,141,3000,60
89,231,1000,534
89,254,1000,601
89,275,1000,446
89,290,2000,626
89,297,2000,685
92,108,3000,666
92,124,1000,251
92,196,1000,645
92,218,2000,584
92,222,1000,383
92,231,1000,755
92,275,1000,55
92,285,3000,247
105,142,1000,901
105,148,2000,636
105,196,2000,225
105,214,1000,874
105,285,3000,948
105,297,3000,359
107,208,3000,393
107,218,1000,225
107,298,2000,238
108,218,2000,324
108,233,1000,972
108,290,2000,686
108,298,1000,896
112,214,1000,751
112,226,3000,890
112,233,1000,586
112,285,2000,450
112,297,2000,428
115,140,3000,169
115,148,3000,296
115,196,2000,697
115,208,3000,66
115,221,3000,990
115,231,3000,458
115,233,3000,163
115,284,1000,601
115,285,2000,249
124,142,3000,851
124,169,3000,917
124,231,1000,25
124,233,3000,978
124,254,1000,578
124,267,2000,883
124,285,2000,720
124,290,2000,91
124,297,2000,98
130,148,2000,369
130,173,1000,420
130,196,3000,749
130,222,2000,929
130,231,2000,744
130,254,3000,719
130,275,1000,995
130,298,3000,707
140,173,1000,304
140,218,3000,544
140,285,1000,833
141,173,3000,205
141,196,3000,509
141,226,1000,995
142,148,3000,974
142,196,3000,962
142,231,3000,446
142,233,1000,440
142,254,1000,102
142,284,1000,943
142,297,1000,295
148,218,1000,822
148,285,1000,103
169,221,2000,556
169,226,2000,173
169,275,1000,196
169,284,3000,890
173,196,2000,626
173,208,1000,980
173,226,3000,988
173,233,1000,947
173,267,2000,590
173,275,2000,405
196,297,2000,203
198,226,2000,496
198,275,1000,167
198,297,2000,920
208,297,3000,380
208,298,3000,942
214,254,3000,73
214,284,3000,454
214,290,1000,215
218,267,1000,864
221,254,2000,251
221,267,2000,704
221,284,1000,437
222,226,2000,618
222,284,3000,157
222,297,3000,614
226,233,3000,825
226,254,2000,47
226,267,2000,484
226,284,2000,669
226,285,1000,286
231,233,1000,843
231,254,2000,330
231,290,1000,709
231,297,3000,503
233,285,2000,179
254,267,2000,226
254,275,2000,6
254,284,2000,295
267,298,3000,664
284,297,2000,979
284,298,1000,204
285,290,3000,562
285,297,1000,856
290,297,3000,201
